@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
345,'2018/11/21 07:43:27:164',2,70.418953,9.954773,183,754,?
346,'2018/11/21 07:43:27:183',2,70.416267,9.95949,183,754,?
347,'2018/11/21 07:43:27:199',2,70.422073,9.939812,183,754,?
348,'2018/11/21 07:43:27:216',2,70.42379,9.940536,183,754,?
349,'2018/11/21 07:43:27:232',2,70.440071,9.902767,183,754,?
350,'2018/11/21 07:43:27:249',2,70.438454,9.881069,183,754,?
351,'2018/11/21 07:43:27:266',2,70.435371,9.860094,183,754,?
352,'2018/11/21 07:43:27:282',2,70.409691,9.859142,183,754,?
353,'2018/11/21 07:43:27:299',2,70.408234,9.870761,183,754,?
354,'2018/11/21 07:43:27:315',2,70.393921,9.883722,183,754,?
355,'2018/11/21 07:43:27:331',2,70.390274,9.883523,183,754,?
356,'2018/11/21 07:43:27:350',2,70.386589,9.901814,183,754,?
357,'2018/11/21 07:43:27:366',2,70.388885,9.901201,183,754,?
358,'2018/11/21 07:43:27:382',2,70.346107,9.925312,183,754,?
359,'2018/11/21 07:43:27:399',2,70.293724,9.92435,183,754,?
360,'2018/11/21 07:43:27:415',2,70.224937,9.913184,183,754,?
361,'2018/11/21 07:43:27:432',2,70.096191,9.945457,183,754,?
362,'2018/11/21 07:43:27:448',2,70.065491,9.959987,183,754,?
363,'2018/11/21 07:43:27:465',2,69.944977,10.061359,183,754,?
364,'2018/11/21 07:43:27:481',2,69.920685,10.089658,183,754,?
365,'2018/11/21 07:43:27:498',2,69.894447,10.118385,183,754,?
366,'2018/11/21 07:43:27:515',2,69.912498,10.164832,183,754,?
